id,name,price,service_id
1,-- 선택 --,0,1
2,베이식,9500,2
3,스탠다드,13500,2
4,프리미엄,17000,2
5,프리미엄,10450,3
6,유튜브 뮤직,7900,3
7,베이직,7900,4
8,스탠다드,10900,4
9,프리미엄,13900,4
10,베이직,7900,5
11,스탠다드,10900,5
12,프리미엄,13900,5
13,일반,79000,6
14,프리미엄,12900,6
15,월간,9900,7
16,월간,6500,8
17,무제한 듣기 + 오프라인 재생,10900,9
18,무제한 듣기,7900,9
19,300회 듣기,4800,9
20,모바일 무제한 듣기,6900,9
21,Wavve&FLO 무제한 이용권,12500,9
22,YES24 북클럽 X FLO 99 요금제,9000,9
23,스트리밍 플러스 정기 결제,10900,10
24,Hi-Fi 스트리밍클럽 정기결제,12000,10
25,스트리밍클럽 정기결제,7900,10
26,모바일 스트리밍클럽 정기결제,6900,10
27,MP3 10 플러스 정기결제,14500,10
28,MP3 30 플러스 정기결제,25900,10
29,MP3 10 정기결제,6600,10
30,MP3 30 정기결제,18000,10
31,300회 듣기 정기결제,4800,10
32,어학 프리클럽 정기결제,5000,10
33,어학 스트리밍클럽 정기결제,3000,10
34,스마트 음악감상 모바일 전용,7400,11
35,지니 x 밀리의 서재,13000,11
36,음악감상,8400,11
37,데이터 세이프 음악감상,10900,11
38,MP3 30곡,8800,11
39,MP3 50곡,12500,11
40,시즌 믹스 플러스,12000,11
41,시즌 플레인 플러스,8000,11
42,LG U+ 데이터 뮤직 안심옵션,8000,11
43,LG U+ 뮤직 벨링,8000,11
44,LG U+ 지니뮤직 마음껏 듣기(모바일),7000,11
45,LG U+ 지니뮤직 마음껏 듣기(모바일+PC),8730,11
46,무제한 듣기 + 오프라인 재생,10900,12
47,무제한 듣기,7900,12
48,모바일 무제한 듣기,6900,12
49,Premium 무제한 듣기,12000,12
50,Bugx X CGV,14900,12
51,Bugs X 우리동네GS클럽 CAFE25,6900,12
52,SKT X 벅스 앤 데이터 플러스,17500,12
53,Bugs X wavve,12500,12
54,무제한 듣기 (1년 약정),6900,13
55,무제한 듣기,8500,13
56,무제한 듣기 + 오프라인 재생 (1년 약정),9800,13
57,무제한 듣기 + 오프라인 재생,12000,13
58,개인 요금제,8900,14
59,가족 요금제,13500,14
60,e북 + 오디오북,9900,15
61,e북 + 오디오북 + 종이책,15900,15
62,종이책 무제한 대여,9900,16
63,종이책 정기배송,19900,16
64,스탠다드 55,5500,17
65,프리미엄 77,7700,17
66,북클럽XFLO 99,9900,17
67,셀렉트,4900,18
68,Sam 2,7000,19
69,Sam 3,9900,19
70,Sam 12,18000,19
71,Sam 7,15000,19
72,Sam 스페셜(판타지),4900,19
73,Sam 스페셜(세계문학),6900,19
74,Sam 무제한,9900,19
75,윌라 멤버십,9900,20
76,언리미티드,11900,21
77,패밀리,17900,21
78,패밀리 플러스,23900,21
79,로켓와우,4990,22
80,슈퍼세이브,5000,23
81,플러스맴버십,4900,24
82,우주패스,2900,25
83,토스프라임,5900,26
84,요기패스,9900,27
85,Smart,4400,28
86,Pro,6600,28
87,Personal,8900,29
88,Family,11900,29
89,개인용,6900,30
90,Game Pass Ultimate,11900,31
91,PC Game Pass,7900,31
92,Game Pass Console,7900,31
93,Essential,7500,32
94,Special,11300,32
95,Delux,12900,32
96,Creative Cloud All,62000,33
97,포토그래피,11000,33
98,포토샵,24000,33
99,Acrobat Pro,23100,33
100,80G,1650,34
101,180G,3300,34
102,330G,5500,34
103,2TB,11000,34
104,50G,1100,35
105,200G,3300,35
106,2TB,11100,35
107,Basic,2400,36
108,Standard,3700,36
109,Premium,11900,36
110,Standalone 100G,2900,37
111,이모티콘 플러스,3900,38
112,톡서랍 플러스 100G,1900,38
113,톡서랍 플러스 250G,3900,38
114,톡서랍 플러스 500G,6900,38
115,톡서랍 플러스 1TB,9800,38
116,Nitro basic,3500,39
117,Nitro,9800,39
118,Student,8400,40
119,Basic,12000,40
120,Premium,25000,40
121,파머스 싱글 S,12900,41
122,파머스 싱글 M,21900,41
123,파머스 믹스 S,15900,41
124,파머스 믹스 M,24900,41
125,꾸까 꽃다발 M,27900,41
126,꾸까 꽃다발 L,37900,41
127,꾸까 꽃다발 XL,47900,41
128,담홥박스,39000,42
129,증류수 담화박스,49000,42
130,월간 제철나물 정기구독,15900,43
131,1켤레,6900,44
132,2켤레,7900,44
133,3켤레,9600,44
134,하루 한 끼 4주 동안 식단관리,185830,45
135,하루 한 끼 고르기 4주 동안 식단 관리,163680,45
136,월간 과자 - 소확행팩,9900,46
137,월간 과자 - 마니아팩,19800,46
138,월간 아이스,14900,46
139,월간 생빵,11900,46
140,Poster Membership,12900,47
141,BOOK membership,17900,47
142,VINYL membership,57900,47
143,스탠다드,39000,48
144,프리미엄,100000,48
145,ADVENTURE,49000,49
146,SUPER HERO,69000,49
147,침구류 구독 서비스,18000,50
148,10호 이하 (약 50 x 45cm),39000,51
149,20호 이하 (약 70 x 60cm),69000,51
150,30호 이하 (약 90 x 70cm),99000,51
151,40호 이하 (약 100 x 80cm),120000,51
152,60호 이하 (약 120 x 90cm),150000,51
153,80호 이하 (약 145 x 110cm),200000,51
154,100호 이하 (약 160 x 130cm),250000,51
155,의류,79000,52
156,가방,79000,52
157,투게더,149000,52
158,개인,10900,53
159,듀오,16350,53
