id,company
1,KB국민은행
2,우리은행
3,신한은행
4,하나은행
5,SC제일은행
6,한국씨티은행
7,기업은행
8,한국산업은행
9,NH농협은행
10,수협
11,우체국
12,새마을금고
13,신협
14,광주은행
15,경남은행
16,대구은행
17,부산은행
18,전북은행
19,제주은행
20,신한카드
21,KB국민카드
22,삼성카드
23,NH농협카드
24,현대카드
25,우리카드(BC)
26,하나카드
27,롯데카드
28,IBK기업은행(BC)
29,CITI카드
30,BNK부산은행(BC)
31,DGB대구은행(BC)
32,BNK경남은행(BC)
33,SC제일은행(BC)
34,KJ광주카드
35,JB전북카드
36,Sh수협카드
37,제주VISA카드
38,BC카드(바로BC)
39,삼성전자
40,LG전자
41,네이버
42,카카오
43,지마켓글로벌
44,NHN
45,쿠팡
46,LG유플러스
47,롯데멤버스
48,SK플래닛
49,SSG.COM
50,현대백화점
51,비바 리퍼블리카 (토스)
52,KG이니시스
53,SK텔레콤
54,KT
55,SK알뜰폰
56,KT알뜰폰
57,LGU+알뜰폰
