id,name,price,service_id
1,베이식,9500,1
2,스탠다드,13500,1
3,프리미엄,17000,1
4,프리미엄,10450,2
5,유튜브 뮤직,7900,2
6,베이직,7900,3
7,스탠다드,10900,3
8,프리미엄,13900,3
9,베이직,7900,4
10,스탠다드,10900,4
11,프리미엄,13900,4
12,일반,79000,5
13,프리미엄,12900,5
14,월간,9900,6
15,월간,6500,7
16,무제한 듣기 + 오프라인 재생,10900,8
17,무제한 듣기,7900,8
18,300회 듣기,4800,8
19,모바일 무제한 듣기,6900,8
20,Wavve&FLO 무제한 이용권,12500,8
21,YES24 북클럽 X FLO 99 요금제,9000,8
22,스트리밍 플러스 정기 결제,10900,9
23,Hi-Fi 스트리밍클럽 정기결제,12000,9
24,스트리밍클럽 정기결제,7900,9
25,모바일 스트리밍클럽 정기결제,6900,9
26,MP3 10 플러스 정기결제,14500,9
27,MP3 30 플러스 정기결제,25900,9
28,MP3 10 정기결제,6600,9
29,MP3 30 정기결제,18000,9
30,300회 듣기 정기결제,4800,9
31,어학 프리클럽 정기결제,5000,9
32,어학 스트리밍클럽 정기결제,3000,9
33,스마트 음악감상 모바일 전용,7400,10
34,지니 x 밀리의 서재,13000,10
35,음악감상,8400,10
36,데이터 세이프 음악감상,10900,10
37,MP3 30곡,8800,10
38,MP3 50곡,12500,10
39,시즌 믹스 플러스,12000,10
40,시즌 플레인 플러스,8000,10
41,LG U+ 데이터 뮤직 안심옵션,8000,10
42,LG U+ 뮤직 벨링,8000,10
43,LG U+ 지니뮤직 마음껏 듣기(모바일),7000,10
44,LG U+ 지니뮤직 마음껏 듣기(모바일+PC),8730,10
45,무제한 듣기 + 오프라인 재생,10900,11
46,무제한 듣기,7900,11
47,모바일 무제한 듣기,6900,11
48,Premium 무제한 듣기,12000,11
49,Bugx X CGV,14900,11
50,Bugs X 우리동네GS클럽 CAFE25,6900,11
51,SKT X 벅스 앤 데이터 플러스,17500,11
52,Bugs X wavve,12500,11
53,무제한 듣기 (1년 약정),6900,12
54,무제한 듣기,8500,12
55,무제한 듣기 + 오프라인 재생 (1년 약정),9800,12
56,무제한 듣기 + 오프라인 재생,12000,12
57,개인 요금제,8900,13
58,가족 요금제,13500,13
59,e북 + 오디오북,9900,14
60,e북 + 오디오북 + 종이책,15900,14
61,종이책 무제한 대여,9900,15
62,종이책 정기배송,19900,15
63,스탠다드 55,5500,16
64,프리미엄 77,7700,16
65,북클럽XFLO 99,9900,16
66,셀렉트,4900,17
67,Sam 2,7000,18
68,Sam 3,9900,18
69,Sam 12,18000,18
70,Sam 7,15000,18
71,Sam 스페셜(판타지),4900,18
72,Sam 스페셜(세계문학),6900,18
73,Sam 무제한,9900,18
74,윌라 멤버십,9900,19
75,언리미티드,11900,20
76,패밀리,17900,20
77,패밀리 플러스,23900,20
78,로켓와우,4990,21
79,슈퍼세이브,5000,22
80,플러스맴버십,4900,23
81,우주패스,2900,24
82,토스프라임,5900,25
83,요기패스,9900,26
84,Smart,4400,27
85,Pro,6600,27
86,Personal,8900,28
87,Family,11900,28
88,개인용,6900,29
89,Game Pass Ultimate,11900,30
90,PC Game Pass,7900,30
91,Game Pass Console,7900,30
92,Essential,7500,31
93,Special,11300,31
94,Delux,12900,31
95,Creative Cloud All,62000,32
96,포토그래피,11000,32
97,포토샵,24000,32
98,Acrobat Pro,23100,32
99,80G,1650,33
100,180G,3300,33
101,330G,5500,33
