id,name,category_id
1,넷플릭스,1
2,Youtube,1
3,Tving,1
4,Wave,1
5,Watcha,1
6,Disney +,1
7,Apple TV+,1
8,FLO,2
9,Melon,2
10,genie,2
11,bugs,2
12,Vibe,2
13,Apple Music,2
14,밀리의 서재,3
15,플라이북,3
16,YES24 북클럽,3
17,RIDI SELECT,3
18,교보문고 SAM,3
19,윌라,3
20,스토리텔,3
21,쿠팡,4
22,티몬,4
23,네이버,4
24,11번가,4
25,토스,4
26,요기요,4
27,폴라리스오피스,5
28,Microsoft365,5
29,한컴독스,5
30,XBOX,5
31,PlayStationPlus,5
32,Adobe,5
33,네이버 MyBox,5
34,iCloud,5
35,Google One,5
36,OneDrive,5
37,카카오,5
38,Discord,6
39,goormIDE,6
40,꾸까,6
41,술담화,6
42,나물투데이,6
43,미하이삭스,6
44,SWEET BALANCE,6
45,롯데 스위트몰,6
46,월간 금지옥엽,6
47,톤28,6
48,레고라운드,7
49,better B life,7
50,OPEN GALLERY,7
51,클로젯셰어,7
52,Spotify,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
